time,frequency,confidence
0.000,198.269,0.325006
0.010,201.572,0.237676
0.020,200.152,0.196605
0.030,138.928,0.115958
0.040,139.124,0.153871
0.050,198.048,0.102192
0.060,193.662,0.125527
0.070,202.589,0.072211
0.080,208.265,0.190207
0.090,211.529,0.494955
0.100,214.935,0.681005
0.110,215.231,0.522809
0.120,219.591,0.235645
0.130,178.986,0.172521
0.140,217.650,0.115797
0.150,32.240,0.047021
0.160,94.470,0.011022
0.170,32.113,0.037581
0.180,54.528,0.035577
0.190,32.000,0.056698
0.200,228.790,0.400685
0.210,226.814,0.565420
0.220,227.490,0.670867
0.230,227.780,0.761280
0.240,227.629,0.886169
0.250,228.014,0.911485
0.260,227.894,0.884662
0.270,227.929,0.869778
0.280,228.256,0.864735
0.290,228.352,0.841197
0.300,227.792,0.819388
0.310,226.300,0.877533
0.320,224.720,0.854838
0.330,223.453,0.899692
0.340,222.207,0.853825
0.350,221.142,0.907101
0.360,220.842,0.928035
0.370,220.524,0.937515
0.380,220.678,0.936670
0.390,221.357,0.911691
0.400,222.233,0.881239
0.410,223.146,0.891959
0.420,224.454,0.852547
0.430,225.120,0.829064
0.440,225.834,0.783168
0.450,225.880,0.717752
0.460,226.543,0.628311
0.470,227.074,0.569510
0.480,227.247,0.748119
0.490,227.104,0.773466
0.500,228.269,0.804472
0.510,229.045,0.833746
0.520,228.656,0.829084
0.530,229.329,0.796514
0.540,229.734,0.794993
0.550,230.435,0.706570
0.560,231.109,0.779582
0.570,231.938,0.738400
0.580,232.497,0.747747
0.590,232.730,0.690394
0.600,232.521,0.777276
0.610,232.054,0.802909
0.620,231.354,0.814558
0.630,230.462,0.828565
0.640,230.101,0.825451
0.650,230.217,0.795516
0.660,230.784,0.839788
0.670,231.023,0.831035
0.680,231.763,0.837978
0.690,232.107,0.830673
0.700,232.586,0.810426
0.710,233.001,0.841660
0.720,233.576,0.865860
0.730,233.756,0.859979
0.740,233.628,0.873036
0.750,233.645,0.908367
0.760,233.248,0.899728
0.770,232.574,0.879109
0.780,232.227,0.820135
0.790,232.054,0.684162
0.800,231.656,0.608989
0.810,231.460,0.734502
0.820,230.871,0.836149
0.830,230.849,0.864604
0.840,230.625,0.829032
0.850,230.727,0.828056
0.860,231.176,0.858787
0.870,231.489,0.770998
0.880,231.481,0.828736
0.890,231.506,0.826614
0.900,231.580,0.751821
0.910,231.816,0.733254
0.920,231.894,0.792731
0.930,232.502,0.791798
0.940,232.736,0.821904
0.950,232.318,0.816593
0.960,232.017,0.834552
0.970,232.082,0.829285
0.980,232.027,0.861968
0.990,232.311,0.851833
1.000,232.342,0.820733
1.010,232.593,0.826762
1.020,232.412,0.842884
1.030,232.321,0.861375
1.040,231.895,0.893852
1.050,231.981,0.859881
1.060,232.146,0.817855
1.070,232.497,0.762005
1.080,233.004,0.767769
1.090,232.792,0.639408
1.100,232.708,0.799191
1.110,232.832,0.848816
1.120,232.127,0.829155
1.130,231.929,0.847802
1.140,231.940,0.837303
1.150,231.860,0.851841
1.160,231.702,0.869619
1.170,231.685,0.878269
1.180,231.936,0.860634
1.190,232.556,0.786879
1.200,233.892,0.678461
1.210,234.187,0.763508
1.220,234.138,0.735266
1.230,234.267,0.754462
1.240,234.511,0.805037
1.250,234.926,0.690548
1.260,235.040,0.608847
1.270,78.005,0.588390
1.280,233.462,0.651255
1.290,232.861,0.608259
1.300,231.976,0.463787
1.310,232.053,0.429161
1.320,76.915,0.475911
1.330,77.125,0.379326
1.340,236.260,0.510536
1.350,239.172,0.602882
1.360,243.305,0.760372
1.370,248.697,0.671604
1.380,254.272,0.690485
1.390,257.323,0.800384
1.400,259.107,0.830445
1.410,260.498,0.856280
1.420,262.050,0.906135
1.430,263.134,0.918878
1.440,264.149,0.901534
1.450,264.220,0.898992
1.460,263.975,0.920061
1.470,263.081,0.951507
1.480,262.351,0.952951
1.490,261.440,0.935276
1.500,260.665,0.919288
1.510,260.181,0.920162
1.520,259.572,0.928316
1.530,258.732,0.921490
1.540,258.469,0.914675
1.550,258.165,0.906703
1.560,257.980,0.888931
1.570,258.132,0.903747
1.580,258.161,0.908475
1.590,258.674,0.928102
1.600,258.966,0.936901
1.610,259.402,0.933643
1.620,259.670,0.936453
1.630,259.728,0.933109
1.640,260.042,0.921704
1.650,259.993,0.908861
1.660,260.357,0.879609
1.670,260.588,0.865384
1.680,261.350,0.865115
1.690,260.992,0.838760
1.700,260.909,0.847968
