time,frequency,confidence
0.000,262.715,0.671408
0.010,262.164,0.849774
0.020,262.003,0.932807
0.030,262.052,0.947857
0.040,262.012,0.945644
0.050,261.811,0.952790
0.060,261.591,0.950896
0.070,261.418,0.948109
0.080,261.225,0.941040
0.090,261.375,0.949411
0.100,261.447,0.954924
0.110,261.593,0.962927
0.120,261.475,0.956767
0.130,261.634,0.956716
0.140,261.532,0.956776
0.150,261.766,0.959576
0.160,261.605,0.958794
0.170,261.730,0.961624
0.180,261.531,0.959288
0.190,261.633,0.962547
0.200,261.519,0.956411
0.210,261.607,0.956220
0.220,261.552,0.955231
0.230,261.606,0.959958
0.240,261.580,0.961386
0.250,261.468,0.956762
0.260,261.511,0.957178
0.270,261.487,0.958391
0.280,261.618,0.957680
0.290,261.466,0.958763
0.300,261.469,0.953959
0.310,261.448,0.955139
0.320,261.564,0.959721
0.330,261.418,0.955205
0.340,261.368,0.953368
0.350,261.268,0.949491
0.360,261.361,0.954410
0.370,261.314,0.955419
0.380,261.220,0.947967
0.390,261.320,0.951678
0.400,261.183,0.951244
0.410,261.221,0.948946
0.420,260.986,0.943106
0.430,261.054,0.941009
0.440,261.098,0.945623
0.450,261.298,0.954709
0.460,261.250,0.950350
0.470,261.271,0.951479
0.480,261.202,0.947455
0.490,261.068,0.945555
0.500,261.176,0.949145
0.510,261.003,0.942343
0.520,261.244,0.944113
0.530,261.217,0.949185
0.540,261.374,0.951286
0.550,261.219,0.948756
0.560,261.327,0.950921
0.570,261.291,0.949686
0.580,261.264,0.950995
0.590,261.330,0.949834
0.600,261.292,0.948803
0.610,261.382,0.950521
0.620,261.244,0.951163
0.630,261.427,0.956042
0.640,261.231,0.949939
0.650,261.267,0.948213
0.660,261.205,0.949181
0.670,261.282,0.949162
0.680,261.289,0.953117
0.690,261.319,0.950445
0.700,261.406,0.953296
0.710,261.414,0.958009
0.720,261.395,0.951724
0.730,261.193,0.951772
0.740,261.192,0.948179
0.750,261.058,0.947936
0.760,261.232,0.953681
0.770,261.181,0.951336
0.780,261.194,0.950864
0.790,261.137,0.949528
0.800,261.052,0.947364
0.810,261.210,0.952998
0.820,261.243,0.953035
0.830,261.316,0.954982
0.840,261.218,0.955552
0.850,261.215,0.951343
0.860,261.166,0.953869
0.870,261.317,0.956359
0.880,261.284,0.956777
0.890,261.303,0.958555
0.900,261.311,0.956506
0.910,261.328,0.957478
0.920,261.370,0.957666
0.930,261.266,0.959231
0.940,261.431,0.961050
0.950,261.255,0.959219
0.960,261.396,0.959981
0.970,261.371,0.960947
0.980,261.449,0.961560
0.990,261.384,0.962551
1.000,261.439,0.960761
1.010,261.439,0.960343
1.020,261.358,0.961721
1.030,261.442,0.959911
1.040,261.460,0.962303
1.050,261.399,0.956258
1.060,261.338,0.957090
1.070,261.328,0.955393
1.080,261.194,0.953424
1.090,261.207,0.952506
1.100,261.254,0.956876
1.110,261.309,0.960063
1.120,261.395,0.962633
1.130,261.330,0.960705
1.140,261.277,0.957341
1.150,261.088,0.952393
1.160,261.068,0.952053
1.170,261.001,0.949585
1.180,261.090,0.949855
1.190,261.347,0.956278
1.200,261.289,0.957077
1.210,261.217,0.953192
1.220,261.034,0.947591
1.230,260.991,0.943269
1.240,261.083,0.949012
1.250,261.040,0.944130
1.260,261.210,0.941664
1.270,261.218,0.940835
1.280,261.199,0.941924
1.290,261.288,0.949317
1.300,261.325,0.949766
1.310,261.388,0.953260
1.320,261.307,0.953343
1.330,261.278,0.951596
1.340,261.156,0.947367
1.350,261.397,0.953058
1.360,261.484,0.951648
1.370,261.399,0.953386
1.380,261.417,0.946046
1.390,261.404,0.948426
1.400,261.516,0.946974
1.410,261.447,0.946492
1.420,261.371,0.948529
1.430,261.454,0.947015
1.440,261.258,0.947264
1.450,261.332,0.947922
1.460,261.209,0.945663
1.470,261.229,0.943951
1.480,261.199,0.941775
1.490,261.291,0.944266
1.500,261.197,0.945604
1.510,261.098,0.940287
1.520,261.002,0.938106
1.530,260.930,0.935860
1.540,261.229,0.944273
1.550,261.131,0.947074
1.560,261.282,0.947467
1.570,262.152,0.924030
1.580,262.600,0.790429
1.590,260.707,0.576944
1.600,262.040,0.238555
1.610,310.196,0.556719
1.620,312.084,0.777744
1.630,313.771,0.829195
1.640,313.595,0.892286
1.650,313.489,0.909381
1.660,312.696,0.937852
1.670,312.403,0.942387
1.680,312.297,0.947081
1.690,312.006,0.947844
1.700,311.795,0.949411
1.710,311.485,0.932765
1.720,311.542,0.947248
1.730,311.432,0.939097
1.740,311.309,0.938832
1.750,311.493,0.950090
1.760,311.679,0.953653
1.770,311.769,0.948752
1.780,311.684,0.944520
1.790,311.612,0.932070
1.800,311.437,0.922139
1.810,311.333,0.915300
1.820,311.221,0.916505
1.830,310.991,0.927328
1.840,311.029,0.927202
1.850,311.170,0.937774
1.860,311.292,0.952261
1.870,311.314,0.948936
1.880,311.271,0.948405
1.890,311.413,0.951429
1.900,311.261,0.948938
1.910,311.447,0.955110
1.920,311.402,0.953301
1.930,311.224,0.951505
1.940,311.339,0.955723
1.950,311.386,0.957212
1.960,311.401,0.959172
1.970,311.345,0.958301
1.980,311.489,0.963032
1.990,311.573,0.965462
2.000,311.407,0.959564
2.010,311.551,0.963415
2.020,311.405,0.964063
2.030,311.465,0.965688
2.040,311.563,0.963641
2.050,311.465,0.963572
2.060,311.464,0.962247
2.070,311.377,0.962671
2.080,311.594,0.965210
2.090,311.618,0.965161
2.100,311.605,0.963157
2.110,311.612,0.965513
2.120,311.616,0.966801
2.130,311.522,0.962655
2.140,311.603,0.962851
2.150,311.551,0.963985
2.160,311.462,0.960074
2.170,311.428,0.962060
2.180,311.476,0.963336
2.190,311.452,0.964460
2.200,311.585,0.963914
2.210,311.535,0.963398
2.220,311.451,0.961465
2.230,311.489,0.960807
2.240,311.480,0.960124
2.250,311.564,0.959887
2.260,311.289,0.954289
2.270,311.323,0.955868
2.280,311.318,0.955844
2.290,311.355,0.955759
2.300,311.421,0.955135
2.310,311.430,0.958594
2.320,311.346,0.955398
2.330,311.456,0.956101
2.340,311.496,0.954896
2.350,311.450,0.956101
2.360,311.309,0.954330
2.370,311.444,0.956589
2.380,311.407,0.956505
2.390,311.422,0.952620
2.400,311.519,0.959003
2.410,311.391,0.954677
2.420,311.421,0.956178
2.430,311.490,0.955551
2.440,311.399,0.955389
2.450,311.174,0.949095
2.460,311.275,0.953614
2.470,311.273,0.953502
2.480,311.308,0.952767
2.490,311.258,0.955993
2.500,311.174,0.956679
2.510,311.163,0.954742
2.520,311.099,0.955271
2.530,311.069,0.953305
2.540,311.170,0.955945
2.550,311.014,0.953218
2.560,311.035,0.950849
2.570,311.016,0.956550
2.580,311.013,0.959627
2.590,311.100,0.963734
2.600,310.966,0.959207
2.610,310.894,0.958411
2.620,311.054,0.958155
2.630,311.242,0.963122
2.640,311.343,0.965685
2.650,311.157,0.963912
2.660,311.131,0.962622
2.670,311.187,0.964737
2.680,311.189,0.966191
2.690,311.212,0.964912
2.700,311.292,0.964714
2.710,311.429,0.960170
2.720,311.301,0.961443
2.730,311.025,0.950630
2.740,311.309,0.950649
2.750,311.327,0.946563
2.760,311.134,0.945408
2.770,311.108,0.940119
